split,modality,model,position,macro_f1,sd,mae,effective_total_rate
valid,text,baseline,prefix,0.5976836503805664,0.01314046563507863,0.6154774175065607,0.1071112308936203
valid,text,baseline,middle,0.5854228964719738,0.012431458362104303,0.6279779993643261,0.1071112308936203
valid,text,baseline,suffix,0.540242455836156,0.008348006483609878,0.6717218148859811,0.1071112308936203
valid,text,baseline,random,0.565161861833101,0.023840686809725786,0.6368940607678732,0.1071112308936203
valid,text,robust_noaug,prefix,0.5975949428460309,0.0020503067906876907,0.6067358219608897,0.1071112308936203
valid,text,robust_noaug,middle,0.5865560339125797,0.008716150865599464,0.6209706004560608,0.1071112308936203
valid,text,robust_noaug,suffix,0.4999576524018427,0.009331888918285867,0.7058078394435182,0.1071112308936203
valid,text,robust_noaug,random,0.568088380848612,0.018894931139046212,0.6360534018830093,0.1071112308936203
valid,text,robust,prefix,0.5934736711886358,0.0185115792508782,0.6037319468585057,0.1071112308936203
valid,text,robust,middle,0.5853441954128905,0.007952964607394884,0.6123897953930348,0.1071112308936203
valid,text,robust,suffix,0.5382403596173099,0.013955940364842531,0.6434644840307185,0.1071112308936203
valid,text,robust,random,0.5804540010902742,0.0013337708185052256,0.6227366711548615,0.1071112308936203
valid,audio,baseline,prefix,0.6103012524794934,0.008495647416036613,0.5784083077498122,0.09879490239864475
valid,audio,baseline,middle,0.611144379421578,0.006108372062160224,0.5783951114031619,0.09879490239864475
valid,audio,baseline,suffix,0.6074487316482381,0.005653135824505702,0.5771680227463771,0.09879490239864475
valid,audio,baseline,random,0.6096609933578497,0.0018334963271000788,0.5781690153692449,0.09879490239864475
valid,audio,robust_noaug,prefix,0.6157373827569691,0.008769405676658867,0.5747464324983909,0.09879490239864475
valid,audio,robust_noaug,middle,0.6144631249708253,0.005416032790750524,0.5749003332092908,0.09879490239864475
valid,audio,robust_noaug,suffix,0.6131052928963558,0.005237523372520061,0.5739013475183424,0.09879490239864475
valid,audio,robust_noaug,random,0.6150660409096648,0.004232572968372894,0.5744297538889102,0.09879490239864475
