split,modality,model,duration,macro_f1,sd,mae,effective_total_rate
valid,text,baseline,short,0.5562461593770269,0.015673245794606484,0.6302399756438047,0.1071112308936203
valid,text,baseline,medium,0.5649348174574843,0.006836189509608328,0.6329039512897224,0.1071112308936203
valid,text,baseline,long,0.5691611340826145,0.002958939290562901,0.6227197884530812,0.1071112308936203
valid,text,robust_noaug,short,0.543419639047186,0.024338608040100306,0.6444864201209347,0.1071112308936203
valid,text,robust_noaug,medium,0.5645309060059985,0.019093223292243215,0.6282682921123374,0.1071112308936203
valid,text,robust_noaug,long,0.5795720321639583,0.010072674785866697,0.617027869112892,0.1071112308936203
valid,text,robust,short,0.548807825768525,0.007797260672938986,0.6226123419825683,0.1071112308936203
valid,text,robust,medium,0.5750871345548854,0.011074962140740123,0.6237146828780735,0.1071112308936203
valid,text,robust,long,0.5738315304724959,0.00971119452738986,0.6067709865312062,0.1071112308936203
valid,audio,baseline,short,0.609202775440486,0.0025339286958273094,0.5776305367177413,0.09879490239864475
valid,audio,baseline,medium,0.6097889584358801,0.002464255630015896,0.5781975309364498,0.09879490239864475
valid,audio,baseline,long,0.6104185643836563,0.006583285332263152,0.5774708442196367,0.09879490239864475
valid,audio,robust_noaug,short,0.6138876438407991,0.006341613129652688,0.5744824493252724,0.09879490239864475
valid,audio,robust_noaug,medium,0.6144866033017745,0.00520929372745343,0.5750178167521408,0.09879490239864475
valid,audio,robust_noaug,long,0.6141291988922365,0.005949246730877002,0.5740853601251302,0.09879490239864475
valid,audio,robust,short,0.6147456734708167,0.01390455787319197,0.5671984557708002,0.09879490239864475
valid,audio,robust,medium,0.6158536408999398,0.012569733273322043,0.5678281692298464,0.09879490239864475
valid,audio,robust,long,0.6128377741485788,0.01041967985734259,0.5668449334151217,0.09879490239864475
valid,vision,baseline,short,0.6081301055473266,0.002831678191371237,0.577859357559726,0.09334693720401956
valid,vision,baseline,medium,0.609636874840715,0.0022863088691037563,0.5779666988436651,0.09334693720401956
valid,vision,baseline,long,0.6084371907877196,0.0028260039347418058,0.5779645292744239,0.09334693720401956
valid,vision,robust_noaug,short,0.6147956320876539,0.005639246824852733,0.5747869516733092,0.09334693720401956
valid,vision,robust_noaug,medium,0.6142396110409871,0.007476018150857939,0.5746175294806805,0.09334693720401956
valid,vision,robust_noaug,long,0.6162651704871168,0.0058556518681986474,0.5744583461503584,0.09334693720401956
valid,vision,robust,short,0.6165185923216776,0.014507870876363566,0.5675399144868377,0.09334693720401956
valid,vision,robust,medium,0.6151641669841379,0.013898027315069925,0.5673418593841977,0.09334693720401956
valid,vision,robust,long,0.6144938553583986,0.015008518946575487,0.5673022125468116,0.09334693720401956
test,text,baseline,short,0.5796763032679905,0.00620105367282284,0.7148886865879427,0.10753995489753898
test,text,baseline,medium,0.591648710167564,0.011141877086033654,0.692581808164627,0.10753995489753898
test,text,baseline,long,0.6063116242357028,0.0029096654405645008,0.6878069498542491,0.10753995489753898
test,text,robust_noaug,short,0.5814928082780892,0.00905244838770625,0.7078818929924405,0.10753995489753898
test,text,robust_noaug,medium,0.5869726886686663,0.01345869009520411,0.6909119686293718,0.10753995489753898
test,text,robust_noaug,long,0.6104671849698905,0.011960309353470937,0.685768579813946,0.10753995489753898
test,text,robust,short,0.5955484047637195,0.029886857886661813,0.6880738204234081,0.10753995489753898
test,text,robust,medium,0.5921868731454144,0.006674760725395285,0.6821785262631699,0.10753995489753898
test,text,robust,long,0.6153305599092338,0.014718982789654946,0.671110989963179,0.10753995489753898
test,audio,baseline,short,0.655716039762639,0.015684116421600704,0.6136777855994769,0.09881360917737032
test,audio,baseline,medium,0.6572158294474858,0.0182232508131523,0.6133445458348322,0.09881360917737032
test,audio,baseline,long,0.6573995283984507,0.013347771483308358,0.613639420636275,0.09881360917737032
test,audio,robust_noaug,short,0.6513717657356487,0.004160692580710009,0.6093315978810799,0.09881360917737032
test,audio,robust_noaug,medium,0.6515359830622435,0.0028758259753235665,0.609860641371966,0.09881360917737032
test,audio,robust_noaug,long,0.6537016107973798,0.0041229643134353625,0.6088122890528559,0.09881360917737032
test,audio,robust,short,0.6435263755846541,0.018369527051571948,0.6077826217770003,0.09881360917737032
test,audio,robust,medium,0.6463929843718169,0.019439426281293807,0.608249649185566,0.09881360917737032
test,audio,robust,long,0.6439319792584676,0.01845111122334429,0.6074162822708672,0.09881360917737032
test,vision,baseline,short,0.6561681227414256,0.01641619007944511,0.6134368957369215,0.09283263065006374
test,vision,baseline,medium,0.6555310067848183,0.016360031917351033,0.6130411097645786,0.09283263065006374
test,vision,baseline,long,0.6556337554738604,0.01579797752185607,0.6133653821456956,0.09283263065006374
test,vision,robust_noaug,short,0.6520817266152644,0.0060490385847423314,0.6093473897133226,0.09283263065006374
test,vision,robust_noaug,medium,0.651204152474896,0.0038967038856625802,0.6094051473767611,0.09283263065006374
test,vision,robust_noaug,long,0.6508084468039943,0.005412806867581022,0.6095411706372501,0.09283263065006374
test,vision,robust,short,0.6414364643158851,0.021851097083933055,0.6077971610085632,0.09283263065006374
test,vision,robust,medium,0.643691439626722,0.02084060906665549,0.6076236289320791,0.09283263065006374
test,vision,robust,long,0.6437397751321914,0.021430754127799066,0.6078987402247042,0.09283263065006374
