modalities,requested,total_effective,text,audio,vision
T,0.1,0.03614079811746249,0.10066087716423616,0.0,0.0
T,0.2,0.07173252279635259,0.19979245179966135,0.0,0.0
T,0.3,0.10753995489753898,0.2995248238571194,0.0,0.0
T,0.4,0.14364153348367487,0.4000764651264406,0.0,0.0
A,0.1,0.033218943033630745,0.0,0.10050430139424503,0.0
A,0.2,0.0666339837238945,0.0,0.2016018985464254,0.0
A,0.3,0.09881360917737032,0.0,0.2989617324236132,0.0
A,0.4,0.1321698205706442,0.0,0.3998813408484129,0.0
V,0.1,0.031179527404647512,0.0,0.0,0.1004358537047565
V,0.2,0.06255515246592804,0.0,0.0,0.20150337944539196
V,0.3,0.09283263065006374,0.0,0.0,0.29903354178510516
V,0.4,0.12409059711736443,0.0,0.0,0.39972206430421325
T+A,0.1,0.06935974115109324,0.10066087716423616,0.10050430139424503,0.0
T+A,0.2,0.1383665065202471,0.19979245179966135,0.2016018985464254,0.0
T+A,0.3,0.20635356407490932,0.2995248238571194,0.2989617324236132,0.0
T+A,0.4,0.27581135405431906,0.4000764651264406,0.3998813408484129,0.0
T+V,0.1,0.06732032552211001,0.10066087716423616,0.0,0.1004358537047565
T+V,0.2,0.1342876752622806,0.19979245179966135,0.0,0.20150337944539196
T+V,0.3,0.2003725855476027,0.2995248238571194,0.0,0.29903354178510516
T+V,0.4,0.26773213060103934,0.4000764651264406,0.0,0.39972206430421325
A+V,0.1,0.06439847043827826,0.0,0.10050430139424503,0.1004358537047565
A+V,0.2,0.12918913618982253,0.0,0.2016018985464254,0.20150337944539196
A+V,0.3,0.19164623982743403,0.0,0.2989617324236132,0.29903354178510516
A+V,0.4,0.2562604176880086,0.0,0.3998813408484129,0.39972206430421325
T+A+V,0.1,0.10053926855574076,0.10066087716423616,0.10050430139424503,0.1004358537047565
T+A+V,0.2,0.20092165898617512,0.19979245179966135,0.2016018985464254,0.20150337944539196
T+A+V,0.3,0.29918619472497304,0.2995248238571194,0.2989617324236132,0.29903354178510516
T+A+V,0.4,0.3999019511716835,0.4000764651264406,0.3998813408484129,0.39972206430421325
