split,model,removed,accuracy,macro_f1,mae,pearson
valid,baseline,None,0.6286630036630036,0.6095907850358443,0.5779588355549744,0.682595148331027
valid,baseline,T,0.3887362637362637,0.3737692482763426,0.7726326274558485,0.1811837622940067
valid,baseline,A,0.6295787545787546,0.6070122210140515,0.5782628428718014,0.68247666135851
valid,baseline,V,0.6277472527472527,0.6073564979256897,0.5882860196378226,0.6740837789703785
valid,baseline,T+A,0.4015567765567765,0.38025198366983065,0.7703752003246814,0.1833636996239992
valid,baseline,T+V,0.3282967032967033,0.3111875220343466,0.7979693634374981,0.044792626537107
valid,baseline,A+V,0.6236263736263736,0.6006000534646425,0.5901176896229413,0.673236925783494
valid,baseline,T+A+V,0.3333333333333333,0.1643076226396961,0.8221256913542202,1.734723475976807e-17
valid,robust_noaug,None,0.6336996336996337,0.6151736884528932,0.5747184743533328,0.6803624101343946
valid,robust_noaug,T,0.38003663003663,0.3671677127845629,0.7838497135452176,0.211137842572619
valid,robust_noaug,A,0.6304945054945055,0.6117680102569829,0.5756472632759712,0.6796105454500445
valid,robust_noaug,V,0.6263736263736264,0.6070491917847022,0.5846481198647943,0.6717325590499006
valid,robust_noaug,T+A,0.3543956043956044,0.3018146300237469,0.7838134193074832,0.23331882490995218
valid,robust_noaug,T+V,0.304029304029304,0.2453224124538308,0.7959685886501345,0.05898547328233558
valid,robust_noaug,A+V,0.6263736263736264,0.6070394504166056,0.5864836602691806,0.6705215006213091
valid,robust_noaug,T+A+V,0.25274725274725274,0.13450292397660818,0.8009452394281443,0.011616165802598812
valid,robust,None,0.6446886446886446,0.613783717186923,0.5674939266663562,0.6863358912348926
valid,robust,T,0.41712454212454214,0.4079248107186711,0.7705580170105141,0.22620863914192346
valid,robust,A,0.6428571428571429,0.6130335509250449,0.568664535192684,0.6852241239840602
valid,robust,V,0.6314102564102564,0.6000109160471888,0.5770094841454287,0.6767647709896999
valid,robust,T+A,0.3850732600732601,0.3410443793707813,0.7684101189504592,0.24590109522763656
valid,robust,T+V,0.3429487179487179,0.3023217519694675,0.7829348308242339,0.06739619700508283
valid,robust,A+V,0.6341575091575091,0.605363350858623,0.5794507304207343,0.67484634123027
valid,robust,T+A+V,0.25274725274725274,0.13450292397660818,0.7716497086950547,0.005808082901299408
test,baseline,None,0.6923429619440623,0.6557945178633805,0.6136975295411262,0.7021903270704155
test,baseline,T,0.40806969280146727,0.3739964380996688,0.8720958420254395,0.2058320682124863
test,baseline,A,0.6905089408528197,0.6509012748171625,0.6155171409682301,0.7005048859810326
test,baseline,V,0.6859238881247135,0.6520251136643407,0.6245123371268387,0.6942138992278614
test,baseline,T+A,0.41082072443833106,0.3602837849457718,0.8710805401094993,0.1961084875983831
test,baseline,T+V,0.34387895460797796,0.3223480031067103,0.9026874874414025,0.10258686989762189
test,baseline,A+V,0.6868408986703347,0.6488486291003196,0.6291722361265704,0.691043653220493
test,baseline,T+A+V,0.3333333333333333,0.16279412047282013,0.9329656776910199,-0.02695414392337853
test,robust_noaug,None,0.6895919303071985,0.6524923351329573,0.6093336637193788,0.7019670158576594
test,robust_noaug,T,0.3901879871618523,0.3704222724564312,0.8873512688089044,0.23054048308311845
test,robust_noaug,A,0.6845483723062816,0.6479294684597959,0.6119005846603509,0.7001754491108679
test,robust_noaug,V,0.6817973406694177,0.6465750260801221,0.6178564396812822,0.6955046322889858
test,robust_noaug,T+A,0.34387895460797796,0.29440100041423106,0.8903140937512358,0.21101853644774707
test,robust_noaug,T+V,0.30949105914718017,0.2646118520942388,0.902944961648156,0.1429336232084121
test,robust_noaug,A+V,0.6790463090325538,0.644199084949525,0.6211651311781649,0.6930905932958012
test,robust_noaug,T+A+V,0.21733149931224208,0.11902071563088512,0.9165988445968626,-0.02695414392337853
test,robust,None,0.6932599724896836,0.643691439626722,0.6076313456488839,0.6978337658023249
test,robust,T,0.43603851444291614,0.4069080097280508,0.8729138488341969,0.23752396016756458
test,robust,A,0.6886749197615772,0.6397182307251512,0.6097580700107551,0.6957563991455528
test,robust,V,0.6895919303071986,0.6418606917959528,0.6151016136090767,0.6911874183861789
test,robust,T+A,0.3998165978908757,0.35067575324236455,0.8734121380543788,0.21875040129925974
test,robust,T+V,0.36451169188445665,0.3246464666122056,0.8875592525686313,0.15810190470732313
test,robust,A+V,0.6923429619440623,0.6457621030575844,0.6178446054144334,0.6883734429717793
test,robust,T+A+V,0.21733149931224208,0.11902071563088512,0.8857907384441006,-0.01347707196168924
