split,metric,comparison,group,mean_difference,seed_sd,seed42,seed43,seed44
valid,macro_f1,robust_noaug - baseline,baseline,0.00558290341704885,0.004952068668578519,0.011300636175612055,0.002784312858432947,0.0026637612171015457
valid,macro_f1,robust_noaug - baseline,rate,0.0033858514129376078,0.0027378419445415816,0.004628794908789591,0.005281738819538572,0.0002470205104846611
valid,macro_f1,robust_noaug - baseline,position,0.0005331567440446799,0.0010270441012063829,0.0006936344092375221,0.0014705154620808837,-0.0005646796391843659
valid,macro_f1,robust_noaug - baseline,duration,0.003263317390533505,0.004999857008695966,0.009029841774321411,0.00013722294009303285,0.0006228874571860708
valid,macro_f1,robust_noaug - baseline,ablation,-0.02426011676108004,0.01654275950564584,-0.015610198208356855,-0.043334553107327096,-0.01383559896755616
valid,macro_f1,robust - robust_noaug,baseline,-0.001389971265970143,0.011561608580400628,-0.0050211166772922144,-0.010700129107907741,0.011551331987289526
valid,macro_f1,robust - robust_noaug,rate,0.003389889665642177,0.009789477589999502,-0.003302786061466802,-0.0011530018497685043,0.014625456908161836
valid,macro_f1,robust - robust_noaug,position,0.0034521454544909976,0.010483906528011967,-0.003561583755758472,-0.001586046874779844,0.01550406699401131
valid,macro_f1,robust - robust_noaug,duration,0.001334861901304965,0.011023089983650059,-0.007210627738917341,-0.0025618160179386143,0.01377702946077085
valid,macro_f1,robust - robust_noaug,ablation,0.018505336024192208,0.016432088091309357,0.015537512456328752,0.036219082572935206,0.003759413043312668
valid,mae,robust_noaug - baseline,baseline,-0.0032403612016416914,0.019482566312176815,0.00011126347049905672,0.014348959453035492,-0.024181306528459623
valid,mae,robust_noaug - baseline,rate,-0.003845703854183063,0.017691380087027385,0.000430449201843121,0.011315665148361973,-0.023283225912754283
valid,mae,robust_noaug - baseline,position,-0.0008349748007724032,0.019217547014773236,0.004016647110872258,0.015491825711807655,-0.022013397224997122
valid,mae,robust_noaug - baseline,duration,-0.0017469086761328322,0.018873341353413026,0.004446318967242828,0.013251669193909101,-0.022938714189550426
valid,mae,robust_noaug - baseline,ablation,-0.001201918623412594,0.0054992221550035,-0.001462412977246094,-0.006566264363973625,0.004422921470981936
valid,mae,robust - robust_noaug,baseline,-0.0072245476869764085,0.0036909860174501354,-0.01095764571289104,-0.007138830537979479,-0.0035771668100587073
valid,mae,robust - robust_noaug,rate,-0.00894921723893813,0.0043380221125834915,-0.011600892209547341,-0.01130371951199101,-0.003943039995276042
valid,mae,robust - robust_noaug,position,-0.012149961732293262,0.005724769567175196,-0.01622836704701937,-0.014616083054830614,-0.0056054350950298
valid,mae,robust - robust_noaug,duration,-0.008897497625288048,0.004857202822440953,-0.012719907905759768,-0.01054076909830152,-0.003431815871802857
valid,mae,robust - robust_noaug,ablation,-0.013239797014545219,0.002895724699162973,-0.012020630908185488,-0.01115300341800231,-0.016545756717447863
test,macro_f1,robust_noaug - baseline,baseline,-0.0033021827304233753,0.018924920179892498,-0.018394315554175034,-0.009442724698200289,0.017930492061105197
test,macro_f1,robust_noaug - baseline,rate,-0.0023485621603478207,0.008665291914730528,-0.011403600980398622,-0.0015077740862111666,0.0058656885855663254
test,macro_f1,robust_noaug - baseline,position,-0.003795859080424093,0.014345518943768351,-0.016505624369964528,-0.00664099347257351,0.011759040601265758
