split,model,scope,conditions,mean_f1,worst_f1,mean_mae,worst_mae,worst_f1_condition,worst_mae_condition
valid,baseline,local,49,0.5913613696538721,0.5371283848020038,0.6009165187632312,0.6717218148859811,rate__text__r0p40__random__medium,position__text__r0p30__suffix__medium
valid,baseline,all_stress,56,0.5718070046797202,0.1643076226396961,0.6136549795375562,0.8221256913542202,ablation__text+audio+vision__r1p00__random__long,ablation__text+audio+vision__r1p00__random__long
valid,robust_noaug,local,49,0.5940260957152107,0.4999576524018427,0.5981936293017702,0.7058078394435182,position__text__r0p30__suffix__medium,position__text__r0p30__suffix__medium
valid,robust_noaug,all_stress,56,0.5711061253882564,0.13450292397660818,0.6111222114308512,0.8009452394281443,ablation__text+audio+vision__r1p00__random__long,ablation__text+audio+vision__r1p00__random__long
valid,robust,local,49,0.5970537776173254,0.5382403596173099,0.5884700557894155,0.6452453102628213,position__text__r0p30__suffix__medium,rate__text+vision__r0p40__random__medium
valid,robust,all_stress,56,0.5760685140556309,0.13450292397660818,0.6009591099807227,0.7829348308242339,ablation__text+audio+vision__r1p00__random__long,ablation__text+vision__r1p00__random__long
test,baseline,local,49,0.6281819215302467,0.545143376991328,0.649412877400063,0.7560260039623973,position__text__r0p30__suffix__medium,position__text__r0p30__suffix__medium
test,baseline,all_stress,56,0.6062877056998016,0.16279412047282013,0.6655225402516445,0.9329656776910199,ablation__text+audio+vision__r1p00__random__long,ablation__text+audio+vision__r1p00__random__long
test,robust_noaug,local,49,0.6253865214827226,0.5180776087004865,0.6455853477360209,0.7755379003597742,position__text__r0p30__suffix__medium,position__text__r0p30__suffix__medium
test,robust_noaug,all_stress,56,0.6005553387989041,0.11902071563088512,0.662175238631964,0.9165988445968626,ablation__text+audio+vision__r1p00__random__long,ablation__text+audio+vision__r1p00__random__long
test,robust,local,49,0.6235958319585565,0.5612579913625813,0.6379387036735263,0.7116679771137601,rate__text__r0p40__random__medium,position__text__r0p30__suffix__medium
test,robust,all_stress,56,0.6015140667278833,0.11902071563088512,0.6539531561953279,0.8875592525686313,ablation__text+audio+vision__r1p00__random__long,ablation__text+vision__r1p00__random__long
