split,model,class,rate,f1,sd
valid,baseline,negative,0,0.6676084073514185,0.02083528195964545
valid,baseline,negative,0.1,0.6501011894695304,0.03169804484289963
valid,baseline,negative,0.2,0.6309726478265804,0.03867236461313768
valid,baseline,negative,0.3,0.6072619014788287,0.01608210173644762
valid,baseline,negative,0.4,0.5540632207298873,0.02459688139471912
valid,robust_noaug,negative,0,0.6674621156828273,0.006649010098715654
valid,robust_noaug,negative,0.1,0.6491198934906955,0.015073170085244666
valid,robust_noaug,negative,0.2,0.6160129017327663,0.03808523688984196
valid,robust_noaug,negative,0.3,0.5839737184409173,0.048297316590271186
valid,robust_noaug,negative,0.4,0.5486450533630185,0.03574549011265651
valid,robust,negative,0,0.6790654302440036,0.0051587377234646
valid,robust,negative,0.1,0.6695676899451765,0.006988452481058699
valid,robust,negative,0.2,0.6448351408362402,0.043640027369648934
valid,robust,negative,0.3,0.632118231877239,0.0035437470426494476
valid,robust,negative,0.4,0.5832301882001968,0.020651159382847926
valid,baseline,neutral,0,0.45797467574892853,0.02412008640065727
valid,baseline,neutral,0.1,0.46004944410965015,0.030826018291134866
valid,baseline,neutral,0.2,0.46896218823788355,0.04100537669950864
valid,baseline,neutral,0.3,0.45453688782447504,0.02970453757102448
valid,baseline,neutral,0.4,0.4357825967935251,0.015328211537479867
valid,robust_noaug,neutral,0,0.4726362461782503,0.031003537538572126
valid,robust_noaug,neutral,0.1,0.47277422966078064,0.017240589667064536
valid,robust_noaug,neutral,0.2,0.4488276943465348,0.02154541823294583
valid,robust_noaug,neutral,0.3,0.45052640757259604,0.01701461545620162
valid,robust_noaug,neutral,0.4,0.4496404932766669,0.009844697930415506
valid,robust,neutral,0,0.43751966571370554,0.033939710853610444
valid,robust,neutral,0.1,0.4125605177602642,0.029363649921977514
valid,robust,neutral,0.2,0.42963508663142785,0.04412586198843322
valid,robust,neutral,0.3,0.4394095927270967,0.023171982765470115
valid,robust,neutral,0.4,0.409606293908838,0.02162405643116594
valid,baseline,positive,0,0.7031892720071858,0.01569125338901278
valid,baseline,positive,0.1,0.6937948234352419,0.021483276764649856
valid,baseline,positive,0.2,0.6623154860415825,0.028511025745523083
valid,baseline,positive,0.3,0.6582650210521162,0.03355626620962023
valid,baseline,positive,0.4,0.621539336882599,0.038802318755667475
valid,robust_noaug,positive,0,0.7054227034976019,0.024173648163560033
valid,robust_noaug,positive,0.1,0.6977008224920329,0.02750188225261719
valid,robust_noaug,positive,0.2,0.6641522484458198,0.01970241954073772
valid,robust_noaug,positive,0.3,0.6552314203752533,0.022240128623116227
valid,robust_noaug,positive,0.4,0.6285044546007637,0.01854463900345689
valid,robust,positive,0,0.7247660556030601,0.0028790283681698003
valid,robust,positive,0.1,0.7106608717524137,0.010345047043469014
valid,robust,positive,0.2,0.697712601547193,0.005980723878253879
valid,robust,positive,0.3,0.678534756814574,0.009048661511065967
valid,robust,positive,0.4,0.6570926275133315,0.021480702386439645
test,baseline,negative,0,0.7167555357281953,0.012737200827511043
test,baseline,negative,0.1,0.6968307154085261,0.009729606180928914
test,baseline,negative,0.2,0.658545577271292,0.021433515416218962
test,baseline,negative,0.3,0.6282287956462244,0.027261587534196382
test,baseline,negative,0.4,0.6002244852731575,0.014529800987941073
test,robust_noaug,negative,0,0.7200988725866289,0.004547516694183718
test,robust_noaug,negative,0.1,0.6685266667582517,0.02987244312248352
test,robust_noaug,negative,0.2,0.6524798888413338,0.02717737945881463
test,robust_noaug,negative,0.3,0.6251043389243248,0.0347093115442674
test,robust_noaug,negative,0.4,0.5776778077541266,0.045442510224096996
test,robust,negative,0,0.7036941465066603,0.016550822789056202
test,robust,negative,0.1,0.6792598629599444,0.006260454696733193
test,robust,negative,0.2,0.6607020229187276,0.02492269565198361
test,robust,negative,0.3,0.6378814372776023,0.033241417871607226
test,robust,negative,0.4,0.6106995884773663,0.005702224880885115
test,baseline,neutral,0,0.48237221154139576,0.022001813995962148
test,baseline,neutral,0.1,0.4510154219132548,0.016341607316407793
test,baseline,neutral,0.2,0.43406850620692966,0.01083597894500905
test,baseline,neutral,0.3,0.43901257103892527,0.028061598780080507
test,baseline,neutral,0.4,0.4086232115823365,0.03173423915725037
