sample,baseline_class,baseline_intensity,robust_noaug_class,robust_noaug_intensity,robust_class,robust_intensity
01,Negative,-0.8096449375152588,Negative,-0.8102347254753113,Negative,-0.9847390055656433
02,Neutral,0.0990515947341919,Neutral,0.04212448000907898,Neutral,0.0765223428606987
03,Neutral,0.2946898341178894,Neutral,0.18524418771266937,Positive,0.42069098353385925
04,Positive,0.5084750652313232,Positive,0.26817601919174194,Positive,0.5465649962425232
05,Negative,-0.9567247629165649,Negative,-1.3733930587768555,Negative,-1.4705030918121338
06,Positive,0.7996232509613037,Positive,0.3428541421890259,Positive,0.5123494863510132
07,Neutral,0.20931556820869446,Neutral,0.033102236688137054,Positive,0.30474600195884705
08,Negative,-0.2589353024959564,Negative,-0.41548973321914673,Negative,-0.2386111319065094
09,Positive,1.3765835762023926,Positive,1.3209829330444336,Positive,1.3530619144439697
10,Neutral,-0.1649777889251709,Neutral,-0.04996318370103836,Neutral,-0.24755239486694336
11,Positive,0.4564746916294098,Positive,0.363069087266922,Positive,0.71792072057724
12,Positive,0.06642595678567886,Neutral,0.10545756667852402,Positive,0.5110611319541931
13,Positive,0.4985126256942749,Positive,0.43400105834007263,Positive,0.7089607119560242
14,Negative,-0.7476913928985596,Negative,-1.1105163097381592,Negative,-0.7585805058479309
15,Positive,0.46963757276535034,Positive,0.3740222752094269,Positive,0.5617152452468872
16,Positive,1.4138184785842896,Positive,1.2853277921676636,Positive,1.3592908382415771
17,Neutral,0.1522635817527771,Neutral,-0.27052566409111023,Positive,0.14421597123146057
18,Positive,0.4870644807815552,Positive,0.35565385222435,Positive,0.5193520188331604
19,Negative,-0.29570454359054565,Negative,-0.44345471262931824,Negative,-0.3030424416065216
20,Neutral,0.13895580172538757,Neutral,-0.010334102436900139,Neutral,0.048198502510786057
21,Positive,0.2261277139186859,Positive,0.381845623254776,Positive,0.6463751792907715
22,Positive,0.5223218202590942,Positive,0.47546109557151794,Positive,0.7021703124046326
23,Positive,0.501561164855957,Positive,0.3755507171154022,Positive,0.5236068964004517
24,Negative,-0.03452545404434204,Negative,-0.1278935819864273,Positive,0.408431738615036
25,Neutral,0.5215892791748047,Positive,0.45555761456489563,Positive,0.48805251717567444
26,Positive,0.6479244232177734,Positive,0.767235517501831,Positive,0.8439772725105286
27,Positive,0.35735875368118286,Positive,0.5310963988304138,Positive,0.557223379611969
28,Positive,0.3680076599121094,Neutral,0.26239606738090515,Positive,0.443388432264328
29,Positive,0.5779507160186768,Positive,0.734604001045227,Positive,0.8558261394500732
30,Positive,0.19897077977657318,Neutral,0.12209749966859818,Positive,0.36556276679039
