split,abs_true_band,n,mae,bias,accuracy
valid,0,184,0.4816467413354827,0.041519462373917515,0.28804347826086957
valid,"(0,.5]",147,0.4847238963203771,-0.061562041112152084,0.5850340136054422
valid,"(.5,1]",198,0.5215774732594839,-0.20041786689273636,0.7222222222222222
valid,"(1,2]",163,0.9402301442906534,-0.30928256886045624,0.852760736196319
valid,"(2,3]",36,1.8057332593533728,-0.14098590281274584,0.8888888888888888
test,0,158,0.5301790711340271,0.018767212010637115,0.17721518987341772
test,"(0,.5]",130,0.4536762236689146,-0.01326135818201762,0.5923076923076923
test,"(.5,1]",202,0.5257420374984199,-0.22664518008875376,0.7574257425742574
test,"(1,2]",188,0.9247687940307437,-0.2521693763382574,0.8776595744680851
test,"(2,3]",49,1.6512167055387885,0.3032527447355037,0.8775510204081632
