split,bin_low,n,mean_confidence,accuracy
valid,0.30000000000000004,17,0.37366263656055226,0.35294117647058826
valid,0.4,105,0.45466663809049696,0.5238095238095238
valid,0.5,126,0.5476006392448668,0.5158730158730159
valid,0.6000000000000001,138,0.6497837767220925,0.5144927536231884
valid,0.7000000000000001,161,0.7530071894574609,0.7018633540372671
valid,0.8,178,0.8441486264882463,0.7865168539325843
valid,0.9,3,0.9022868275642395,1.0
test,0.30000000000000004,16,0.3784493077546358,0.5
test,0.4,107,0.4540679452018203,0.3644859813084112
test,0.5,109,0.5409685559229019,0.5229357798165137
test,0.6000000000000001,107,0.6538191526849694,0.5700934579439252
test,0.7000000000000001,160,0.7563184946775436,0.71875
test,0.8,225,0.8475011237462362,0.8133333333333334
test,0.9,3,0.9020212690035502,1.0
