variant,id,main_modality,sum_importance,positive_bins,top_bin,top5_mass,signed_drop_sum
aligned,01,text,1.0,10,10,0.8716345629345688,-0.07061338424682617
aligned,02,text,1.0,15,18,0.7061088395911681,0.23394694924354553
aligned,03,text,1.0,34,24,0.5366889721826269,0.282611608505249
aligned,04,text,1.0,26,24,0.2961030822888861,0.2880746126174927
aligned,05,vision,1.0,15,4,0.4244511847695294,0.09446072578430176
aligned,06,text,1.0,22,24,0.490681061145947,0.04343909025192261
aligned,07,text,1.0,24,21,0.4730459529388152,0.01053917407989502
aligned,08,text,1.0,13,2,0.5886347515799986,0.5282680094242096
aligned,09,text,1.0,14,18,0.586070231226534,0.017521440982818604
aligned,10,text,0.9999999999999999,42,30,0.45224211613699844,0.1558588147163391
aligned,11,text,1.0000000000000002,12,7,0.7421077336742027,0.43249696493148804
aligned,12,text,1.0,33,41,0.34728766647780895,0.12407046556472778
aligned,13,text,1.0,31,6,0.6700038948588979,-0.01685565710067749
aligned,14,text,1.0,19,2,0.5758928743469554,-0.0434756875038147
aligned,15,text,1.0,9,20,0.7071571669306487,-0.0014195442199707031
aligned,16,text,1.0,12,11,0.6978801476527496,0.035320281982421875
aligned,17,text,1.0,26,15,0.3361576863588738,0.34525150060653687
aligned,18,text,1.0,30,29,0.5252535743278723,0.1727856993675232
aligned,19,text,1.0,39,17,0.32130537545114823,0.2673931121826172
aligned,20,vision,1.0,43,20,0.16033285394266567,0.06005340814590454
unaligned,01,text,1.0,12,10,0.594371432571594,0.01089826226234436
unaligned,02,text,0.9999999999999999,12,18,0.7421371697089096,0.10716372728347778
unaligned,03,text,1.0,33,24,0.5466899253827762,0.22101595997810364
unaligned,04,text,1.0,23,1,0.3698518520857874,0.07528495788574219
unaligned,05,audio,1.0,11,9,0.6999044179633251,0.1163068413734436
unaligned,06,text,1.0,19,24,0.5417968390793109,0.022525131702423096
unaligned,07,text,1.0,23,21,0.4783226027564934,0.004429757595062256
unaligned,08,text,1.0,9,2,0.8617576960420084,0.15484124422073364
unaligned,09,text,1.0,14,18,0.5931655652547134,0.010404765605926514
unaligned,10,text,1.0,22,11,0.5036768187347908,0.1106576919555664
unaligned,11,text,1.0,45,7,0.7662636958518273,0.3963395357131958
unaligned,12,text,1.0,28,41,0.35424278816772153,0.08872026205062866
unaligned,13,text,1.0,17,6,0.6010283462576381,-0.0035194456577301025
unaligned,14,text,1.0,20,2,0.5563012283838863,-0.027603179216384888
unaligned,15,audio,1.0,50,14,0.42014194459409265,0.017812788486480713
unaligned,16,text,1.0,46,11,0.8356054575984204,0.01729106903076172
unaligned,17,text,0.9999999999999999,26,15,0.3696669841048962,0.19446474313735962
unaligned,18,text,1.0,29,29,0.542675678447416,0.14801165461540222
unaligned,19,text,1.0,28,17,0.3576986966777466,0.1971445083618164
unaligned,20,text,1.0,20,18,0.5415357439849982,-0.01791602373123169
