modality,bin,token,drop,attention,reported_start_s,reported_end_s,reported_frame_start,reported_frame_end
text,2,[CLS],0.10446822643280029,0.051959943026304245,,,,
text,3,that,0.06710726022720337,0.04861275851726532,,,,
text,12,us,0.04491230845451355,0.0534665547311306,,,,
text,0,[CLS],0.03570374846458435,0.048678576946258545,,,,
text,4,that,0.02413320541381836,0.04741562902927399,,,,
audio,12,,0.0,0.029725145548582077,0.24,0.26,1,1
audio,0,,0.0,0.02706323005259037,0.0,0.02,0,0
audio,2,,-0.02142333984375,0.028887532651424408,0.04,0.06,0,0
audio,4,,-0.0237046480178833,0.02636108547449112,0.08,0.1,0,0
audio,3,,-0.046761274337768555,0.027026640251278877,0.06,0.08,0,0
vision,12,,0.0,0.0094551807269454,0.24,0.26,1,1
vision,0,,0.0,0.008608460426330566,0.0,0.02,0,0
vision,4,,-0.005746692419052124,0.008385117165744305,0.08,0.1,0,0
vision,3,,-0.006012976169586182,0.008596821688115597,0.06,0.08,0,0
vision,2,,-0.006316691637039185,0.00918874703347683,0.04,0.06,0,0
