modality,bin,token,drop,attention,reported_start_s,reported_end_s,reported_frame_start,reported_frame_end
text,4,hi,0.0017493367195129395,0.03142302855849266,,,,
text,12,name,-0.004949092864990234,0.033694781363010406,,,,
text,13,name,-0.007585406303405762,0.03494906798005104,,,,
text,14,is,-0.012374699115753174,0.03169696033000946,,,,
text,8,my,-0.012590944766998291,0.03484679013490677,,,,
audio,4,,0.017053663730621338,0.026059748604893684,0.08,0.1,0,0
audio,8,,0.008691966533660889,0.028899144381284714,0.16,0.18,1,1
audio,13,,0.0,0.028983965516090393,0.26,0.28,1,1
audio,12,,0.0,0.02794376015663147,0.24,0.26,1,1
audio,14,,0.0,0.026286927983164787,0.28,0.3,1,2
vision,4,,0.003283381462097168,0.00490147527307272,0.08,0.1,0,0
vision,8,,0.0029027462005615234,0.00543552590534091,0.16,0.18,1,1
vision,13,,0.0,0.005451479461044073,0.26,0.28,1,1
vision,12,,0.0,0.005255831405520439,0.24,0.26,1,1
vision,14,,0.0,0.004944204352796078,0.28,0.3,1,2
