modality,bin,token,drop,attention,reported_start_s,reported_end_s,reported_frame_start,reported_frame_end
text,4,hi,0.01062774658203125,0.041853345930576324,,,,
text,12,name,0.003159165382385254,0.046435799449682236,,,,
text,13,name,-0.002384483814239502,0.04640885069966316,,,,
text,6,",",-0.00551450252532959,0.04307851940393448,,,,
text,8,my,-0.013411104679107666,0.04827490076422691,,,,
audio,6,,0.002180814743041992,0.009965717792510986,0.12,0.14,1,1
audio,4,,0.0016192793846130371,0.009682287462055683,0.08,0.1,0,0
audio,8,,0.0015279650688171387,0.011167840100824833,0.16,0.18,1,1
audio,13,,-0.0025211572647094727,0.010736150667071342,0.26,0.28,1,1
audio,12,,-0.007488667964935303,0.010742385871708393,0.24,0.26,1,1
vision,4,,0.008209526538848877,0.01066721323877573,0.08,0.1,0,0
vision,6,,0.007205367088317871,0.010979474522173405,0.12,0.14,1,1
vision,12,,0.007203519344329834,0.011835149489343166,0.24,0.26,1,1
vision,8,,0.006386101245880127,0.012303883209824562,0.16,0.18,1,1
vision,13,,0.0039039254188537598,0.011828280054032803,0.26,0.28,1,1
