id,aligned_class,unaligned_class,same_class,aligned_main,unaligned_main,same_main,intensity_difference
01,Neutral,Neutral,1,text,text,1,0.07720765098929405
02,Negative,Negative,1,text,text,1,0.020603835582733154
03,Negative,Negative,1,text,text,1,0.016653910279273987
04,Negative,Negative,1,text,text,1,-0.12634146213531494
05,Positive,Positive,1,vision,audio,0,0.13786804676055908
06,Positive,Positive,1,text,text,1,-0.011133790016174316
07,Positive,Positive,1,text,text,1,-0.0038856863975524902
08,Positive,Positive,1,text,text,1,0.3168102204799652
09,Negative,Negative,1,text,text,1,-0.0037724971771240234
10,Negative,Negative,1,text,text,1,-0.01822972297668457
11,Negative,Negative,1,text,text,1,0.0017312169075012207
12,Negative,Negative,1,text,text,1,0.010879218578338623
13,Neutral,Neutral,1,text,text,1,0.009323090314865112
14,Neutral,Neutral,1,text,text,1,0.03667626529932022
15,Positive,Positive,1,text,audio,0,0.000102996826171875
16,Negative,Negative,1,text,text,1,0.0077362060546875
17,Positive,Positive,1,text,text,1,0.13759982585906982
18,Negative,Negative,1,text,text,1,0.004746079444885254
19,Negative,Negative,1,text,text,1,-0.01733022928237915
20,Positive,Positive,1,vision,text,0,-0.08125090599060059
