model,split,condition_id,group,missing_modalities,requested_rate,position,duration,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,mae_mean,mae_sd,rmse_mean,rmse_sd,pearson_mean,pearson_sd,f1_negative_mean,f1_negative_sd,f1_neutral_mean,f1_neutral_sd,f1_positive_mean,f1_positive_sd,effective_missing_rate_mean,effective_missing_rate_sd
baseline,test,ablation__audio+vision__r1p00__random__long,ablation,audio+vision,1.0,random,long,0.6868408986703347,0.02013772696561007,0.6488486291003196,0.009690173268476309,0.6291722361265704,0.007747052064466338,0.8475019190983227,0.00742666536961473,0.691043653220493,0.0065455271192039295,0.7125959436878747,0.017099899669116556,0.4705562935972589,0.011653931185975448,0.763393650015825,0.022543346168852035,0.6409648004706344,0.0
baseline,test,ablation__audio__r1p00__random__long,ablation,audio,1.0,random,long,0.6905089408528197,0.015863222276025837,0.6509012748171625,0.0067421515287329195,0.6155171409682301,0.004310212126448284,0.8324325768335706,0.002526378267644262,0.7005048859810326,0.004619846737917831,0.7161264696282595,0.011644635556527356,0.46902387980148214,0.028561205012841234,0.7675534750217459,0.019101984970849452,0.33052260025492697,0.0
baseline,test,ablation__complete__r0p00__none__none,ablation,,0.0,none,none,0.6923429619440623,0.024810177457072372,0.6557945178633805,0.016412668808191953,0.6136975295411262,0.006690049954127828,0.8291782551468101,0.004422217211895246,0.7021903270704155,0.002528995575841339,0.7167555357281953,0.012737200827511043,0.48237221154139576,0.022001813995962148,0.7682558063205507,0.025732950488036217,0.0,0.0
baseline,test,ablation__text+audio+vision__r1p00__random__long,ablation,text+audio+vision,1.0,random,long,0.3333333333333333,0.14648005665029387,0.16279412047282013,0.05292306009006544,0.9329656776910199,0.05672449697209092,1.186897179883889,0.03352465947519024,-0.02695414392337853,0.023342973374907764,0.14775160599571732,0.2559132884844808,0.11902071563088512,0.2061499266259003,0.22161003979185798,0.3838398483868586,1.0,0.0
baseline,test,ablation__text+audio__r1p00__random__long,ablation,text+audio,1.0,random,long,0.41082072443833106,0.021368510220506277,0.3602837849457718,0.010340257761593571,0.8710805401094993,0.022848979049665985,1.1379362052852307,0.013504661021366257,0.1961084875983831,0.05087961245377336,0.2497348619860372,0.09345874332344818,0.27265095109451626,0.031236512204198496,0.5584655417567618,0.04536409911624831,0.6895577997842924,1.3597399555105182e-16
baseline,test,ablation__text+vision__r1p00__random__long,ablation,text+vision,1.0,random,long,0.34387895460797796,0.021617927985559466,0.3223480031067103,0.021916468440471595,0.9026874874414025,0.0036165050978094167,1.1596788368697266,0.009794236462144595,0.10258686989762189,0.07892295041344596,0.36016463338945925,0.06154460685701549,0.23310387612206784,0.08743194262690752,0.37377549980860375,0.05597114490389276,0.669477399745073,0.0
baseline,test,ablation__text__r1p00__random__long,ablation,text,1.0,random,long,0.40806969280146727,0.024231472281932707,0.3739964380996688,0.016169087794337234,0.8720958420254395,0.012137158330718422,1.133594712089809,0.01156972650531746,0.2058320682124863,0.0469815398928038,0.35336134307652123,0.07995108933253317,0.25561260229363,0.0723134726085181,0.5130153689288551,0.05607898223037339,0.35903519952936563,0.0
baseline,test,ablation__vision__r1p00__random__long,ablation,vision,1.0,random,long,0.6859238881247135,0.021368510220506273,0.6520251136643407,0.012586694780456965,0.6245123371268387,0.010064941274720742,0.8409605317659121,0.008682648078765634,0.6942138992278614,0.0035646552713736626,0.7126098469168131,0.012189265714018951,0.48251212817276934,0.012541268539969747,0.7609533659034398,0.023840839373162694,0.3104422002157074,0.0
baseline,test,baseline__complete__r0p00__none__none,baseline,,0.0,none,none,0.6923429619440623,0.024810177457072372,0.6557945178633805,0.016412668808191953,0.6136975295411262,0.006690049954127828,0.8291782551468101,0.004422217211895246,0.7021903270704155,0.002528995575841339,0.7167555357281953,0.012737200827511043,0.48237221154139576,0.022001813995962148,0.7682558063205507,0.025732950488036217,0.0,0.0
baseline,test,duration__audio__r0p30__random__long,duration,audio,0.3,random,long,0.694176983035305,0.0222363239852951,0.6573995283984507,0.013347771483308358,0.613639420636275,0.006532202698014498,0.8292244108918648,0.00421431200141027,0.7021580835627018,0.0030209692411810327,0.7162176293913527,0.011286390129000871,0.4848652334680493,0.014964710717147358,0.7711157223359503,0.022513321557486844,0.09881360917737032,1.6996749443881478e-17
