variant,id,reported_duration_s,container_duration_s,ratio_reported_to_container
aligned,01,1.0,9.0,0.1111111111111111
aligned,02,1.0,3.7,0.27027027027027023
aligned,03,1.0,16.0,0.0625
aligned,04,1.0,9.3,0.1075268817204301
aligned,05,1.0,6.167,0.16215339711366952
aligned,06,1.0,9.8,0.1020408163265306
aligned,07,1.0,24.134,0.041435319466313084
aligned,08,1.0,8.067,0.12396181975951406
aligned,09,1.0,11.3,0.08849557522123894
aligned,10,1.0,10.934,0.09145783793671118
aligned,11,1.0,11.424,0.08753501400560225
aligned,12,1.0,20.367,0.04909903274905484
aligned,13,1.0,8.68,0.1152073732718894
aligned,14,1.0,13.9,0.07194244604316546
aligned,15,1.0,7.334,0.13635124079629124
aligned,16,1.0,5.573,0.1794365691727974
aligned,17,1.0,14.0,0.07142857142857142
aligned,18,1.0,22.967,0.04354073235511822
aligned,19,1.0,18.734,0.05337888331376107
aligned,20,1.0,18.767,0.053285021580433745
unaligned,01,1.0,9.0,0.1111111111111111
unaligned,02,1.0,3.7,0.27027027027027023
unaligned,03,1.0,16.0,0.0625
unaligned,04,1.0,9.3,0.1075268817204301
unaligned,05,1.0,6.167,0.16215339711366952
unaligned,06,1.0,9.8,0.1020408163265306
unaligned,07,1.0,24.134,0.041435319466313084
unaligned,08,1.0,8.067,0.12396181975951406
unaligned,09,1.0,11.3,0.08849557522123894
unaligned,10,1.0,10.934,0.09145783793671118
unaligned,11,1.0,11.424,0.08753501400560225
unaligned,12,1.0,20.367,0.04909903274905484
unaligned,13,1.0,8.68,0.1152073732718894
unaligned,14,1.0,13.9,0.07194244604316546
unaligned,15,1.0,7.334,0.13635124079629124
unaligned,16,1.0,5.573,0.1794365691727974
unaligned,17,1.0,14.0,0.07142857142857142
unaligned,18,1.0,22.967,0.04354073235511822
unaligned,19,1.0,18.734,0.05337888331376107
unaligned,20,1.0,18.767,0.053285021580433745
