split,metric,value,lower95,upper95
valid,accuracy,0.6414835164835165,0.6011091729269684,0.6811242424242424
valid,macro_f1,0.6105367634498272,0.5692312749632167,0.6480764932129751
valid,mae,0.5734618548278256,0.5307076097435411,0.6162465282482721
valid,rmse,0.7626325327659046,0.6996699349250811,0.8228749903836946
valid,pearson,0.6865242581420193,0.6326868684821796,0.7285365622401273
valid,bias,-0.04812295743325664,-0.12349315824739258,0.023714344559188354
test,accuracy,0.7180192572214581,0.6848918397824537,0.7527740731786583
test,macro_f1,0.6707584158960306,0.6309226264552875,0.7089420268447416
test,mae,0.6101917138981647,0.5656152635668552,0.656341862031983
test,rmse,0.8270947664019176,0.7674299573350752,0.892316232229581
test,pearson,0.6996104505718136,0.6442919258841723,0.7443965021578325
test,bias,0.0008607125178778844,-0.07040980720975669,0.07378270826928535
