comparator,metric,reference_minus_comparator,lower95,upper95
Legacy,accuracy,0.06877579092159569,0.03717847317744152,0.09934029903352073
Legacy,macro_f1,0.05456708427522983,0.019580368782836647,0.09094292174116424
Legacy,mae,-0.03200723182415122,-0.06231065629031812,-0.005027025822999872
Hybrid cosine,accuracy,0.06877579092159569,0.03688002040035709,0.10082024309664162
Hybrid cosine,macro_f1,0.11390196276516595,0.07516701246335913,0.15270956611186182
Hybrid cosine,mae,-0.09122075859016565,-0.12847760587943452,-0.05520045082528623
Hybrid ordinal,accuracy,0.05364511691884466,0.025029005690380773,0.080608380776002
Hybrid ordinal,macro_f1,0.06754917579150921,0.031261277540970564,0.10135102646261339
Hybrid ordinal,mae,-0.12841217980740594,-0.16575370513530446,-0.08931517918100063
BERT AV history,accuracy,0.028885832187070193,0.002777394106813988,0.05427777623939666
BERT AV history,macro_f1,0.012415492284146068,-0.018651532817882795,0.04328756450628257
BERT AV history,mae,-0.007774419818672995,-0.03091995111520885,0.015800649917530992
