id,bin,start_seconds,end_seconds,text_norm,audio_rms,vision_rgb_mean_1,text_coverage,audio_coverage,vision_coverage,text_source_count,audio_source_count,vision_source_count
-tANM6ETl_M$_$3,1,0.000000,0.135200,0,0.0022433016,0.34336865,0.000000,1.000000,1.000000,0,14,1
-tANM6ETl_M$_$3,2,0.135200,0.270400,0,0.0016460685,0.34333131,0.000000,1.000000,1.000000,0,16,2
-tANM6ETl_M$_$3,3,0.270400,0.405600,0,0.0015811081,0.34331185,0.000000,1.000000,1.000000,0,16,2
-tANM6ETl_M$_$3,4,0.405600,0.540800,0,0.0029691339,0.3436574,0.000000,1.000000,1.000000,0,16,1
-tANM6ETl_M$_$3,5,0.540800,0.676000,13.442199,0.046326052,0.34680533,0.593840,1.000000,1.000000,2,16,2
-tANM6ETl_M$_$3,6,0.676000,0.811200,15.662208,0.12329134,0.34939361,0.803896,1.000000,1.000000,1,16,2
-tANM6ETl_M$_$3,7,0.811200,0.946400,15.662208,0.09329804,0.35090137,0.829166,1.000000,1.000000,1,16,1
-tANM6ETl_M$_$3,8,0.946400,1.081600,14.622282,0.033155493,0.35100633,0.576994,1.000000,1.000000,1,16,2
-tANM6ETl_M$_$3,9,1.081600,1.216800,14.622282,0.15682994,0.35109308,1.000000,1.000000,1.000000,1,16,2
-tANM6ETl_M$_$3,10,1.216800,1.352000,14.622282,0.040561665,0.3512187,0.501448,1.000000,1.000000,1,16,1
-tANM6ETl_M$_$3,11,1.352000,1.487200,15.889305,0.057942171,0.35166284,0.296920,1.000000,1.000000,1,16,2
-tANM6ETl_M$_$3,12,1.487200,1.622400,11.911547,0.11458276,0.35170826,0.568571,1.000000,1.000000,2,16,2
-tANM6ETl_M$_$3,13,1.622400,1.757600,11.911547,0.095485367,0.35070586,0.916031,1.000000,1.000000,2,16,1
-tANM6ETl_M$_$3,14,1.757600,1.892800,15.52279,0.090840586,0.35107738,0.193209,1.000000,1.000000,1,16,2
-tANM6ETl_M$_$3,15,1.892800,2.028000,15.52279,0.082279086,0.35100085,0.400632,1.000000,1.000000,1,16,2
-tANM6ETl_M$_$3,16,2.028000,2.163200,15.141804,0.09045808,0.3500579,0.857068,1.000000,1.000000,1,16,1
-tANM6ETl_M$_$3,17,2.163200,2.298400,14.145971,0.050456341,0.34989071,0.406160,1.000000,1.000000,2,16,2
-tANM6ETl_M$_$3,18,2.298400,2.433600,12.15396,0.020111283,0.35034937,0.406160,1.000000,1.000000,2,16,2
-tANM6ETl_M$_$3,19,2.433600,2.568800,12.902478,0.2293058,0.35192537,1.000000,1.000000,1.000000,1,16,1
-tANM6ETl_M$_$3,20,2.568800,2.704000,12.902478,0.029895646,0.35067624,1.000000,1.000000,1.000000,1,16,2
-tANM6ETl_M$_$3,21,2.704000,2.839200,12.902478,0.068486013,0.35021126,1.000000,1.000000,1.000000,1,16,2
-tANM6ETl_M$_$3,22,2.839200,2.974400,10.369679,0.034385569,0.34999031,0.703080,1.000000,1.000000,3,16,1
-tANM6ETl_M$_$3,23,2.974400,3.109600,11.515616,0.047065381,0.35168943,0.417478,1.000000,1.000000,3,16,2
-tANM6ETl_M$_$3,24,3.109600,3.244800,14.123347,0.082376339,0.35198328,0.691761,1.000000,1.000000,1,16,2
-tANM6ETl_M$_$3,25,3.244800,3.380000,14.123347,0.017836833,0.35177538,1.000000,1.000000,1.000000,1,16,1
