model,split,condition_id,group,missing_modalities,requested_rate,position,duration,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,mae_mean,mae_std,rmse_mean,rmse_std,pearson_mean,pearson_std,effective_missing_rate_mean,effective_missing_rate_std
baseline,valid,ablation__audio+vision__r1p00__random__long,ablation,audio+vision,1.0,random,long,0.6236263736263736,0.007850928662766567,0.6006000534646425,0.012645365390458905,0.5901176896229413,0.006073677630118618,0.7922608776235656,0.00976294573689698,0.673236925783494,0.004621236218086119,0.6413968351749895,0.0
baseline,valid,ablation__audio__r1p00__random__long,ablation,audio,1.0,random,long,0.6295787545787546,0.01199249162427541,0.6070122210140515,0.012219626371737857,0.5782628428718014,0.004706380485765413,0.7769138904907466,0.010154335592507663,0.68247666135851,0.0037055159724532836,0.3296885226966465,0.0
baseline,valid,ablation__complete__r0p00__none__none,ablation,,0.0,none,none,0.6286630036630036,0.009134586695631889,0.6095907850358443,0.0017903419591062508,0.5779588355549744,0.006705658881075619,0.7744579899476793,0.012285402225679067,0.682595148331027,0.0027949106376811018,0.0,0.0
baseline,valid,ablation__text+audio+vision__r1p00__random__long,ablation,text+audio+vision,1.0,random,long,0.3333333333333333,0.09341557092532303,0.1643076226396961,0.03367775485398905,0.8221256913542202,0.042176975601935125,1.078988660319644,0.033336917738989585,1.734723475976807e-17,0.014226839491967224,1.0,0.0
baseline,valid,ablation__text+audio__r1p00__random__long,ablation,text+audio,1.0,random,long,0.4015567765567765,0.004532735776836852,0.38025198366983065,0.015783460362181534,0.7703752003246814,0.00939434815410203,1.031507359337044,0.002522105795028072,0.1833636996239992,0.019406393431605166,0.6882916875216573,1.1102230246251565e-16
baseline,valid,ablation__text+vision__r1p00__random__long,ablation,text+vision,1.0,random,long,0.3282967032967033,0.0022431224750761626,0.3111875220343466,0.009175272911877835,0.7979693634374981,0.006723884972708115,1.0614157255912398,0.007037939021142202,0.044792626537107,0.01852176797829802,0.6703114773033535,0.0
baseline,valid,ablation__text__r1p00__random__long,ablation,text,1.0,random,long,0.3887362637362637,0.013598207330510533,0.3737692482763426,0.009060923868639058,0.7726326274558485,0.001969430141168267,1.0315986637245267,0.0018094026748760382,0.1811837622940067,0.013373094270278838,0.3586031648250106,0.0
baseline,valid,ablation__vision__r1p00__random__long,ablation,vision,1.0,random,long,0.6277472527472527,0.00958262341412833,0.6073564979256897,0.007230153900648949,0.5882860196378226,0.008434954487383208,0.7868853342886957,0.012482958497647611,0.6740837789703785,0.003938669467603527,0.3117083124783429,0.0
baseline,valid,baseline__complete__r0p00__none__none,baseline,,0.0,none,none,0.6286630036630036,0.009134586695631889,0.6095907850358443,0.0017903419591062508,0.5779588355549744,0.006705658881075619,0.7744579899476793,0.012285402225679067,0.682595148331027,0.0027949106376811018,0.0,0.0
baseline,valid,duration__audio__r0p30__random__long,duration,audio,0.3,random,long,0.6295787545787546,0.006177077638842488,0.6104185643836563,0.005375229965064513,0.5774708442196367,0.0065738897516002355,0.7740451096632134,0.012566305502203348,0.682896063040038,0.002882626874401722,0.09879490239864475,0.0
baseline,valid,duration__audio__r0p30__random__medium,duration,audio,0.3,random,medium,0.6286630036630036,0.008113573785104985,0.6097889584358801,0.0020120562964398786,0.5781975309364498,0.007205648182528004,0.7744906733669173,0.01331082094211114,0.6825765948079313,0.003582552289237205,0.09879490239864475,0.0
baseline,valid,duration__audio__r0p30__random__short,duration,audio,0.3,random,short,0.6282051282051282,0.00849232462957479,0.609202775440486,0.00206894411645765,0.5776305367177413,0.006487896228472789,0.7744674586638703,0.011992803290397073,0.682628673042673,0.0024385784284750175,0.09879490239864475,0.0
baseline,valid,duration__text__r0p30__random__long,duration,text,0.3,random,long,0.5801282051282051,0.0094059700476988,0.5691611340826145,0.00241596381391732,0.6227197884530812,0.006860425259388788,0.8430913720158667,0.01725937221094564,0.6063028077637141,0.019046830862315747,0.1071112308936203,0.0
baseline,valid,duration__text__r0p30__random__medium,duration,text,0.3,random,medium,0.5769230769230769,0.003364683712614289,0.5649348174574843,0.005581725361169188,0.6329039512897224,0.012601837316701576,0.8585122417136833,0.018526359669766616,0.5860316741497814,0.008106099696764138,0.1071112308936203,0.0
baseline,valid,duration__text__r0p30__random__short,duration,text,0.3,random,short,0.5723443223443223,0.020992478729574427,0.5562461593770269,0.012797151603336053,0.6302399756438047,0.002500423414903121,0.8602386665361986,0.007700934328397541,0.574363590751215,0.014211906785002008,0.1071112308936203,0.0
baseline,valid,duration__vision__r0p30__random__long,duration,vision,0.3,random,long,0.6277472527472527,0.00890211634396681,0.6084371907877196,0.002307422550404985,0.5779645292744239,0.006107774009975705,0.7744743541579924,0.012092744588084861,0.6824887717792006,0.002893754481740224,0.09334693720401956,0.0
baseline,valid,duration__vision__r0p30__random__medium,duration,vision,0.3,random,medium,0.6282051282051282,0.00849232462957479,0.609636874840715,0.001866763374567953,0.5779666988436651,0.006264000673038835,0.7744220351510743,0.011832764431717322,0.682547570708782,0.002713816511228137,0.09334693720401956,0.0
baseline,valid,duration__vision__r0p30__random__short,duration,vision,0.3,random,short,0.6272893772893773,0.008267156632448591,0.6081301055473266,0.002312055561542222,0.577859357559726,0.006588464988581272,0.7744765630023336,0.01228646427894449,0.682440646015134,0.0028578522362362525,0.09334693720401956,0.0
baseline,valid,position__audio__r0p30__middle__medium,position,audio,0.3,middle,medium,0.6295787545787546,0.012354155277685028,0.611144379421578,0.004987464903788266,0.5783951114031619,0.006388102472148164,0.7747961683267698,0.011987011941494282,0.6822919911516734,0.00296389725600997,0.09879490239864475,0.0
baseline,valid,position__audio__r0p30__prefix__medium,position,audio,0.3,prefix,medium,0.6282051282051282,0.007467722724496352,0.6103012524794934,0.006936667067961365,0.5784083077498122,0.0073043157246247895,0.7755272709330816,0.013036013591365204,0.6818497506120527,0.0032353234759829336,0.09879490239864475,0.0
baseline,valid,position__audio__r0p30__random__medium,position,audio,0.3,random,medium,0.6282051282051282,0.007467722724496352,0.6096609933578497,0.0014970434822207579,0.5781690153692449,0.007239124409180419,0.7747152536450512,0.012582640508246262,0.6824390108338659,0.0030170925704509186,0.09879490239864475,0.0
baseline,valid,position__audio__r0p30__suffix__medium,position,audio,0.3,suffix,medium,0.6272893772893773,0.005300291622156678,0.6074487316482381,0.004615766072228947,0.5771680227463771,0.006793551001311964,0.7731059333635617,0.011804652525379333,0.6834336872553518,0.0026241190010101215,0.09879490239864475,0.0
baseline,valid,position__text__r0p30__middle__medium,position,text,0.3,middle,medium,0.5984432234432235,0.018508592428029047,0.5854228964719738,0.010150243248603552,0.6279779993643261,0.012373935676227585,0.84256617368304,0.01330077784686317,0.6061502788339251,0.0034263949232097193,0.1071112308936203,0.0
baseline,valid,position__text__r0p30__prefix__medium,position,text,0.3,prefix,medium,0.6130952380952381,0.016798476490699755,0.5976836503805664,0.010729145262839981,0.6154774175065607,0.0032128609890856993,0.8325488131594158,0.0007212732900446742,0.6091257968707886,0.004262271981246803,0.1071112308936203,0.0
baseline,valid,position__text__r0p30__random__medium,position,text,0.3,random,medium,0.5773809523809524,0.028046507016691497,0.565161861833101,0.01946583926710984,0.6368940607678732,0.011890120033427366,0.8702391428263478,0.023935953165153637,0.5695106353131821,0.021435714628155328,0.1071112308936203,0.0
baseline,valid,position__text__r0p30__suffix__medium,position,text,0.3,suffix,medium,0.559065934065934,0.013781975222795284,0.540242455836156,0.006816118751429954,0.6717218148859811,0.006967154565974283,0.8997710916427936,0.006307285935426506,0.5164749296623853,0.007963006107954206,0.1071112308936203,0.0
baseline,valid,position__vision__r0p30__middle__medium,position,vision,0.3,middle,medium,0.6268315018315018,0.009538766783882595,0.6081777035766832,0.003000872049664573,0.577475366129748,0.006525476000698118,0.7738741172255504,0.012267935011788973,0.6829193884026714,0.0029001047300385246,0.09334693720401956,0.0
baseline,valid,position__vision__r0p30__prefix__medium,position,vision,0.3,prefix,medium,0.6263736263736264,0.007850928662766569,0.6077620862931638,0.0023785079454770094,0.5785382701524946,0.006714287833062465,0.7752157881346803,0.011847430540711424,0.6818101498984926,0.0026494210594196037,0.09334693720401956,0.0
baseline,valid,position__vision__r0p30__random__medium,position,vision,0.3,random,medium,0.6295787545787546,0.007297333997485884,0.6106588785087174,0.004141829722032481,0.5776654140552123,0.006473317770591595,0.7743099832677424,0.01215725125027198,0.6825991034095821,0.0026843680598283236,0.09334693720401956,0.0
baseline,valid,position__vision__r0p30__suffix__medium,position,vision,0.3,suffix,medium,0.6304945054945055,0.00890211634396686,0.6125368450465963,0.002016656352080812,0.5790203690610745,0.0068025317173122405,0.7756262435580377,0.012322771866262263,0.6818229245758608,0.0029380240919157086,0.09334693720401956,0.0
baseline,valid,rate__audio+vision__r0p10__random__medium,rate,audio+vision,0.1,random,medium,0.6277472527472527,0.008759673291991265,0.6083142495965449,0.0012837317205037638,0.5781831762134251,0.006714566883945297,0.7746365125750834,0.012463047910668436,0.6823739652191914,0.003037409630413938,0.06479805952335117,0.0
baseline,valid,rate__audio+vision__r0p20__random__medium,rate,audio+vision,0.2,random,medium,0.63003663003663,0.009065471553673706,0.6110703131043307,0.0008971638135730186,0.5782632700729632,0.0070609160162793385,0.7745738821559492,0.012598368975390758,0.6825518933677402,0.0030378458687204415,0.1289223424325261,0.0
baseline,valid,rate__audio+vision__r0p30__random__medium,rate,audio+vision,0.3,random,medium,0.6277472527472527,0.007004147683506548,0.6088721880496895,0.0035542054926417173,0.5780154638484482,0.0067610205364371165,0.774816677076602,0.011944997586136834,0.682182335243683,0.0027412128679935605,0.19214183960266432,0.0
baseline,valid,rate__audio+vision__r0p40__random__medium,rate,audio+vision,0.4,random,medium,0.6240842490842491,0.010600583244313356,0.6056741432604628,0.0018423729916816713,0.5783439112938907,0.00702575995511115,0.7752793497321732,0.012226107827388805,0.6814131556657346,0.003220147786023554,0.256150617949409,0.0
baseline,valid,rate__audio__r0p10__random__medium,rate,audio,0.1,random,medium,0.6286630036630036,0.008267156632448591,0.6095625849922516,0.00248381480232621,0.5780630010212584,0.006961651772645656,0.7743904021283696,0.012353824519640622,0.6826612212209424,0.0028322663274360995,0.03338081854233242,0.0
baseline,valid,rate__audio__r0p20__random__medium,rate,audio,0.2,random,medium,0.6309523809523809,0.00979896271017982,0.6120690392838471,0.003395837134338385,0.5785152986692605,0.006588647675922198,0.7749214675651772,0.012101741811907436,0.6822079370192208,0.0026439937012044303,0.06622261579332384,0.0
baseline,valid,rate__audio__r0p30__random__medium,rate,audio,0.3,random,medium,0.6304945054945055,0.009777544186841878,0.6119688991800024,0.0017036228248628693,0.5782952327409167,0.007259382996784336,0.7743851283123041,0.01248380762478145,0.682715906377092,0.0029208448786852857,0.09879490239864475,0.0
baseline,valid,rate__audio__r0p40__random__medium,rate,audio,0.4,random,medium,0.6304945054945055,0.0073545688663960405,0.61261166539155,0.0042585038588612185,0.5778426665756441,0.007639594314792931,0.7745464718367142,0.012625087022776925,0.6825515526747633,0.003098645210364391,0.13167520117044623,0.0
baseline,valid,rate__text+audio+vision__r0p10__random__medium,rate,text+audio+vision,0.1,random,medium,0.6126373626373627,0.010815944881884369,0.5956128845719179,0.002781597266550157,0.6017966523788693,0.002405563085666013,0.8122545230321797,0.004323235632654739,0.638504609882818,0.007105748174412889,0.10093173680360375,0.0
baseline,valid,rate__text+audio+vision__r0p20__random__medium,rate,text+audio+vision,0.2,random,medium,0.6043956043956045,0.014836860573278068,0.5893189020440425,0.006281914839969656,0.6016250356324803,0.010038420409147004,0.8104654167496891,0.012823339246440748,0.6390352539756132,0.0069919511385131,0.2008239325453355,2.7755575615628914e-17
