model,seed,split,condition_id,group,missing_modalities,requested_rate,position,duration,effective_missing_rate,base_valid_bins,remaining_valid_bins,effective_missing_rate_text,remaining_ratio_text,effective_missing_rate_audio,remaining_ratio_audio,effective_missing_rate_vision,remaining_ratio_vision,accuracy,macro_f1,mae,rmse,pearson,f1_negative,f1_neutral,f1_positive,valid_sample_count
baseline,42,valid,baseline__complete__r0p00__none__none,baseline,,0.0,none,none,0.0,51946,51946,0.0,1.0,0.0,1.0,0.0,1.0,0.6414835164835165,0.6105367634498272,0.5734618548278256,0.7626325327659046,0.6865242581420195,0.6811594202898551,0.43067846607669613,0.7197724039829303,728
baseline,42,test,baseline__complete__r0p00__none__none,baseline,,0.0,none,none,0.0,50995,50995,0.0,1.0,0.0,1.0,0.0,1.0,0.7180192572214581,0.6707584158960307,0.6101917138981647,0.8270947664019176,0.6996104505718134,0.7307692307692308,0.48727272727272725,0.7942332896461337,727
baseline,42,valid,rate__text__r0p10__random__medium,rate,text,0.1,random,medium,0.03613367728025257,51946,50069,0.10076229332188104,0.899237706678119,0.0,1.0,0.0,1.0,0.6387362637362637,0.6072167225378048,0.5871713048507265,0.7876795486336204,0.6586142819497584,0.671604938271605,0.4319526627218935,0.7180925666199157,728
baseline,42,test,rate__text__r0p10__random__medium,rate,text,0.1,random,medium,0.03614079811746249,50995,49152,0.10066087716423616,0.8993391228357638,0.0,1.0,0.0,1.0,0.6891334250343879,0.6356080462503109,0.6438881014249552,0.8613269126148838,0.6679706968483983,0.7009803921568627,0.43223443223443225,0.7736093143596376,727
baseline,42,valid,rate__text__r0p20__random__medium,rate,text,0.2,random,medium,0.07190159011280946,51946,48211,0.20050461670603392,0.7994953832939661,0.0,1.0,0.0,1.0,0.6222527472527473,0.5959865751532418,0.6018862160828455,0.7940047224535484,0.6502653904908082,0.6666666666666666,0.42613636363636365,0.6951566951566952,728
baseline,42,test,rate__text__r0p20__random__medium,rate,text,0.2,random,medium,0.07173252279635259,50995,47337,0.19979245179966137,0.8002075482003387,0.0,1.0,0.0,1.0,0.6836313617606602,0.6295310319682997,0.6682081439851321,0.8996416767440021,0.6293632162871104,0.6832917705735662,0.4301075268817205,0.7751937984496124,727
baseline,42,valid,rate__text__r0p30__random__medium,rate,text,0.3,random,medium,0.1071112308936203,51946,46382,0.29869014386944387,0.7013098561305562,0.0,1.0,0.0,1.0,0.6085164835164835,0.5805776217147249,0.6201111077929714,0.8275944538002709,0.6100166686207937,0.6243386243386243,0.4207650273224044,0.696629213483146,728
baseline,42,test,rate__text__r0p30__random__medium,rate,text,0.3,random,medium,0.10753995489753898,50995,45511,0.2995248238571194,0.7004751761428806,0.0,1.0,0.0,1.0,0.6657496561210454,0.6125908318518128,0.6681775863434827,0.9032389174547379,0.6253056347488257,0.6584158415841583,0.4199288256227758,0.7594278283485046,727
baseline,42,valid,rate__text__r0p40__random__medium,rate,text,0.4,random,medium,0.14355292034035344,51946,44489,0.40031135924414857,0.5996886407558514,0.0,1.0,0.0,1.0,0.5755494505494505,0.5530594206497225,0.639230790010725,0.859737203645288,0.5687198721820904,0.5824175824175825,0.4186046511627907,0.6581560283687944,728
baseline,42,test,rate__text__r0p40__random__medium,rate,text,0.4,random,medium,0.14364153348367487,50995,43670,0.4000764651264406,0.5999235348735594,0.0,1.0,0.0,1.0,0.6162310866574966,0.5713858547109197,0.7189475456342368,0.9701424597094171,0.5469704389326415,0.6169665809768637,0.3765432098765432,0.7206477732793523,727
baseline,42,valid,rate__audio__r0p10__random__medium,rate,audio,0.1,random,medium,0.03338081854233242,51946,50212,0.0,1.0,0.1012495620693682,0.8987504379306318,0.0,1.0,0.6401098901098901,0.6086483077494784,0.573387133029218,0.7624585799667558,0.6866474675012446,0.6811594202898551,0.4260355029585799,0.7187500000000001,728
baseline,42,test,rate__audio__r0p10__random__medium,rate,audio,0.1,random,medium,0.033218943033630745,50995,49301,0.0,1.0,0.10050430139424503,0.899495698605755,0.0,1.0,0.71939477303989,0.6729328148362725,0.6100634578871637,0.8270327783215823,0.6996640854165157,0.7307692307692308,0.4927536231884058,0.795275590551181,727
baseline,42,valid,rate__audio__r0p20__random__medium,rate,audio,0.2,random,medium,0.06622261579332384,51946,48506,0.0,1.0,0.20086418311339485,0.7991358168866052,0.0,1.0,0.6442307692307693,0.6138191433182593,0.5742518084742907,0.7632663334615348,0.6859431251678015,0.6843373493975904,0.43529411764705883,0.7218259629101285,728
baseline,42,test,rate__audio__r0p20__random__medium,rate,audio,0.2,random,medium,0.0666339837238945,50995,47597,0.0,1.0,0.2016018985464254,0.7983981014535746,0.0,1.0,0.7180192572214581,0.6707584158960307,0.6098766518984774,0.8265226744729997,0.7001079940970938,0.7307692307692308,0.48727272727272725,0.7942332896461337,727
baseline,42,valid,rate__audio__r0p30__random__medium,rate,audio,0.3,random,medium,0.09879490239864475,51946,46814,0.0,1.0,0.29966133364475067,0.7003386663552493,0.0,1.0,0.6442307692307693,0.6143778705586037,0.5729583940560837,0.7621860130819913,0.6868287206127209,0.6811594202898551,0.4411764705882353,0.7207977207977208,728
baseline,42,test,rate__audio__r0p30__random__medium,rate,audio,0.3,random,medium,0.09881360917737034,50995,45956,0.0,1.0,0.2989617324236132,0.7010382675763869,0.0,1.0,0.7152682255845942,0.6658988310364456,0.6104059189153218,0.8280594272385452,0.6987651748257451,0.7272727272727273,0.47619047619047616,0.7942332896461337,727
baseline,42,valid,rate__audio__r0p40__random__medium,rate,audio,0.4,random,medium,0.13167520117044623,51946,45106,0.0,1.0,0.3993927361905874,0.6006072638094125,0.0,1.0,0.6401098901098901,0.6095884467120367,0.5723031676415313,0.762205276492404,0.6868967632235002,0.6811594202898551,0.43067846607669613,0.716927453769559,728
baseline,42,test,rate__audio__r0p40__random__medium,rate,audio,0.4,random,medium,0.1321698205706442,50995,44255,0.0,1.0,0.3998813408484129,0.600118659151587,0.0,1.0,0.71939477303989,0.6729328148362725,0.6099223623890045,0.8268199890453258,0.6998487214227791,0.7307692307692308,0.4927536231884058,0.795275590551181,727
baseline,42,valid,rate__vision__r0p10__random__medium,rate,vision,0.1,random,medium,0.03141724098101875,51946,50314,0.0,1.0,0.0,1.0,0.1007905138339921,0.8992094861660079,0.6442307692307693,0.6138191433182593,0.5733403650439948,0.7626080671296096,0.6865709731870339,0.6843373493975904,0.43529411764705883,0.7218259629101285,728
baseline,42,test,rate__vision__r0p10__random__medium,rate,vision,0.1,random,medium,0.031179527404647515,50995,49405,0.0,1.0,0.0,1.0,0.1004358537047565,0.8995641462952435,0.7180192572214581,0.6707584158960307,0.6097358716843955,0.8267700918149059,0.6998890514632194,0.7307692307692308,0.48727272727272725,0.7942332896461337,727
baseline,42,valid,rate__vision__r0p20__random__medium,rate,vision,0.2,random,medium,0.06269972663920224,51946,48689,0.0,1.0,0.0,1.0,0.20114871541501977,0.7988512845849802,0.6414835164835165,0.6113833038202753,0.5732024834864865,0.762453189727763,0.6867449107477399,0.6811594202898551,0.4340175953079179,0.7189728958630528,728
baseline,42,test,rate__vision__r0p20__random__medium,rate,vision,0.2,random,medium,0.06255515246592804,50995,47805,0.0,1.0,0.0,1.0,0.20150337944539196,0.798496620554608,0.7180192572214581,0.6707584158960307,0.6097745034187786,0.8264570596371539,0.7001528570891357,0.7307692307692308,0.48727272727272725,0.7942332896461337,727
baseline,42,valid,rate__vision__r0p30__random__medium,rate,vision,0.3,random,medium,0.09334693720401956,51946,47097,0.0,1.0,0.0,1.0,0.29946887351778656,0.7005311264822134,0.6401098901098901,0.6104322814712501,0.5739317256445576,0.7635184893279847,0.6856512998891691,0.6811594202898551,0.4340175953079179,0.7161198288159771,728
baseline,42,test,rate__vision__r0p30__random__medium,rate,vision,0.3,random,medium,0.09283263065006374,50995,46261,0.0,1.0,0.0,1.0,0.29903354178510516,0.7009664582148948,0.7180192572214581,0.6696961800638229,0.6104705144908725,0.8266538156037397,0.6999892271625985,0.7338129496402879,0.48000000000000004,0.795275590551181,727
baseline,42,valid,rate__vision__r0p40__random__medium,rate,vision,0.4,random,medium,0.12447541677896277,51946,45480,0.0,1.0,0.0,1.0,0.39933300395256915,0.6006669960474308,0.6428571428571429,0.6140725310475079,0.5735315513633356,0.7639816099464233,0.6852863539794495,0.6811594202898551,0.44186046511627913,0.7191977077363897,728
baseline,42,test,rate__vision__r0p40__random__medium,rate,vision,0.4,random,medium,0.12409059711736445,50995,44667,0.0,1.0,0.0,1.0,0.39972206430421325,0.6002779356957868,0.71939477303989,0.6729386905761762,0.609378683628025,0.8260965898330175,0.7004469413906702,0.7320574162679426,0.49097472924187724,0.7957839262187087,727
baseline,42,valid,rate__text+audio__r0p10__random__medium,rate,text+audio,0.1,random,medium,0.069514495822585,51946,48335,0.10076229332188104,0.899237706678119,0.1012495620693682,0.8987504379306318,0.0,1.0,0.6346153846153846,0.6064990334029723,0.5934678391057098,0.7852089732808533,0.6617980791593759,0.674698795180723,0.436046511627907,0.7087517934002869,728
baseline,42,test,rate__text+audio__r0p10__random__medium,rate,text+audio,0.1,random,medium,0.06935974115109324,50995,47458,0.10066087716423616,0.8993391228357638,0.10050430139424503,0.899495698605755,0.0,1.0,0.6767537826685007,0.624585258263977,0.6413349920455904,0.8693191945548208,0.6602576826612817,0.6862745098039216,0.42446043165467623,0.7630208333333333,727
baseline,42,valid,rate__text+audio__r0p20__random__medium,rate,text+audio,0.2,random,medium,0.13812420590613328,51946,44771,0.20050461670603392,0.7994953832939661,0.20086418311339485,0.7991358168866052,0.0,1.0,0.6016483516483516,0.5704688816825122,0.6099286204188612,0.8250162694400814,0.6154744797457593,0.6138613861386139,0.4022662889518413,0.6952789699570816,728
baseline,42,test,rate__text+audio__r0p20__random__medium,rate,text+audio,0.2,random,medium,0.1383665065202471,50995,43939,0.19979245179966137,0.8002075482003387,0.2016018985464254,0.7983981014535746,0.0,1.0,0.6657496561210454,0.6180526824222393,0.6705483841252459,0.9017994620481988,0.6268745045155893,0.6616541353383458,0.4460431654676259,0.7464607464607466,727
baseline,42,valid,rate__text+audio__r0p30__random__medium,rate,text+audio,0.3,random,medium,0.20590613329226504,51946,41250,0.29869014386944387,0.7013098561305562,0.29966133364475067,0.7003386663552493,0.0,1.0,0.5728021978021978,0.5431011283254027,0.6368763082108082,0.8639577138549673,0.5670737016564072,0.5540897097625329,0.4,0.6752136752136753,728
baseline,42,test,rate__text+audio__r0p30__random__medium,rate,text+audio,0.3,random,medium,0.20635356407490932,50995,40472,0.2995248238571194,0.7004751761428806,0.2989617324236132,0.7010382675763869,0.0,1.0,0.6492434662998624,0.6043658022749127,0.6879162273204474,0.9331386277468486,0.5923446404520832,0.6512820512820513,0.42524916943521596,0.7365661861074705,727
baseline,42,valid,rate__text+audio__r0p40__random__medium,rate,text+audio,0.4,random,medium,0.2752281215107997,51946,37649,0.40031135924414857,0.5996886407558514,0.3993927361905874,0.6006072638094125,0.0,1.0,0.570054945054945,0.5493020838851209,0.6536364047404297,0.8774305041381288,0.5482482189607815,0.5630026809651474,0.43367346938775503,0.6512301013024602,728
baseline,42,test,rate__text+audio__r0p40__random__medium,rate,text+audio,0.4,random,medium,0.27581135405431906,50995,36930,0.4000764651264406,0.5999235348735594,0.3998813408484129,0.600118659151587,0.0,1.0,0.6341127922971114,0.5882974103146491,0.7222426905203226,0.9803541490586037,0.5358470034999897,0.6323907455012854,0.40522875816993464,0.7272727272727273,727
baseline,42,valid,rate__text+vision__r0p10__random__medium,rate,text+vision,0.1,random,medium,0.06755091826127133,51946,48437,0.10076229332188104,0.899237706678119,0.0,1.0,0.1007905138339921,0.8992094861660079,0.6057692307692307,0.5741893966181788,0.6019099046077047,0.8034765219910999,0.6416794690478482,0.6487804878048781,0.388235294117647,0.6855524079320113,728
baseline,42,test,rate__text+vision__r0p10__random__medium,rate,text+vision,0.1,random,medium,0.06732032552211001,50995,47562,0.10066087716423616,0.8993391228357638,0.0,1.0,0.1004358537047565,0.8995641462952435,0.6753782668500687,0.6140866996557274,0.6448112648067563,0.8614044067380326,0.6679386256767466,0.7092198581560285,0.3726235741444867,0.7604166666666666,727
baseline,42,valid,rate__text+vision__r0p20__random__medium,rate,text+vision,0.2,random,medium,0.1346013167520117,51946,44954,0.20050461670603392,0.7994953832939661,0.0,1.0,0.20114871541501977,0.7988512845849802,0.6085164835164835,0.5834143684447718,0.6131539634495441,0.8341175433520859,0.6065380514132093,0.6530612244897959,0.4192634560906516,0.6779184247538678,728
baseline,42,test,rate__text+vision__r0p20__random__medium,rate,text+vision,0.2,random,medium,0.1342876752622806,50995,44147,0.19979245179966137,0.8002075482003387,0.0,1.0,0.20150337944539196,0.798496620554608,0.6547455295735901,0.5972897550213191,0.6662238584587957,0.8969872503316578,0.6320724995178864,0.6650246305418719,0.37192982456140355,0.7549148099606816,727
baseline,42,valid,rate__text+vision__r0p30__random__medium,rate,text+vision,0.3,random,medium,0.20045816809763986,51946,41533,0.29869014386944387,0.7013098561305562,0.0,1.0,0.29946887351778656,0.7005311264822134,0.5947802197802198,0.5656365593589449,0.630261852134756,0.8525178362101112,0.5822279813906985,0.6025974025974026,0.4088397790055249,0.6854724964739068,728
