modality,aligned_bin,mean_normalized_occlusion,sample_count
text,0,0.04082645705833404,36
text,1,0.03159911698342882,36
text,2,0.04466994663476406,36
text,3,0.027435717210539105,36
text,4,0.02873481829384711,36
text,5,0.03509294336753567,36
text,6,0.041994101039656326,36
text,7,0.030031800135797728,36
text,8,0.020575209207901343,36
text,9,0.0266158679581801,36
text,10,0.044148752917707604,36
text,11,0.03501089745825029,36
text,12,0.03832489738434641,36
text,13,0.028931442809648735,36
text,14,0.02787663646459036,36
text,15,0.03570372489405732,36
text,16,0.018658267519944136,36
text,17,0.028385572867618027,36
text,18,0.045696755795591015,36
text,19,0.021728038269481435,36
text,20,0.030617816296110434,36
text,21,0.03243230016430507,36
text,22,0.021082883368599342,36
text,23,0.02621552034780273,36
text,24,0.032887179971715,36
text,25,0.01795754092155678,36
text,26,0.025548709067451787,36
text,27,0.012357618168551084,36
text,28,0.015319962361110662,36
text,29,0.014010916391535918,36
text,30,0.02245552187077736,36
text,31,0.018782832300831373,36
text,32,0.012949755101555056,36
text,33,0.007173594716907087,36
text,34,0.004304058863400875,36
text,35,0.00690820004128985,36
text,36,0.005767198737810076,36
text,37,0.0019690070351662,36
text,38,0.001517673329017737,36
text,39,0.0010342665016514522,36
text,40,0.008702908215579954,36
text,41,0.008103718415339595,36
text,42,0.001979119230344042,36
text,43,2.4149514759067087e-07,36
text,44,0.007006350194193437,36
text,45,0.001499446144197074,36
text,46,0.0019447871506453373,36
text,47,0.0010295979581370954,36
text,48,0.001126290879475176,36
text,49,0.005274020488575215,36
audio,0,0.056846518820776584,2
audio,1,0.042696924142873655,2
audio,2,0.08223645204887836,2
audio,3,0.054516040945295115,2
audio,4,0.10744842648041614,2
audio,5,0.08851710519188746,2
audio,6,0.10107393197820219,2
audio,7,0.10420409341438125,2
audio,8,0.057141029348607514,2
audio,9,0.12118695002429848,2
audio,10,0.035040511234912364,2
audio,11,0.034457200793711874,2
audio,12,0.04132187158063102,2
audio,13,0.028465880762525556,2
audio,14,0.044788505231739106,2
audio,15,1.6730857389517784e-06,2
audio,16,1.6730857389517784e-06,2
audio,17,1.6730857389517784e-06,2
audio,18,1.6730857389517784e-06,2
audio,19,1.6730857389517784e-06,2
audio,20,1.6730857389517784e-06,2
audio,21,1.6730857389517784e-06,2
audio,22,1.6730857389517784e-06,2
audio,23,1.6730857389517784e-06,2
audio,24,1.6730857389517784e-06,2
audio,25,1.6730857389517784e-06,2
audio,26,1.6730857389517784e-06,2
audio,27,1.6730857389517784e-06,2
audio,28,1.6730857389517784e-06,2
audio,29,1.6730857389517784e-06,2
audio,30,1.6730857389517784e-06,2
audio,31,1.6730857389517784e-06,2
audio,32,1.6730857389517784e-06,2
audio,33,1.6730857389517784e-06,2
audio,34,1.6730857389517784e-06,2
audio,35,1.6730857389517784e-06,2
audio,36,1.6730857389517784e-06,2
audio,37,1.6730857389517784e-06,2
audio,38,1.6730857389517784e-06,2
audio,39,1.6730857389517784e-06,2
audio,40,1.6730857389517784e-06,2
audio,41,1.6730857389517784e-06,2
audio,42,1.6730857389517784e-06,2
audio,43,1.6730857389517784e-06,2
audio,44,1.6730857389517784e-06,2
audio,45,1.6730857389517784e-06,2
audio,46,1.6730857389517784e-06,2
audio,47,1.6730857389517784e-06,2
audio,48,1.6730857389517784e-06,2
audio,49,1.6730857389517784e-06,2
vision,0,0.0,2
vision,1,0.04806443766316973,2
vision,2,0.049917323105356605,2
vision,3,0.05726530242552158,2
vision,4,0.058851681687534685,2
vision,5,0.0579613535074758,2
vision,6,0.05256714740667441,2
vision,7,0.05287622398266037,2
vision,8,0.04787226393892115,2
vision,9,0.044676104172749184,2
vision,10,0.043637805680141646,2
vision,11,0.04314177256651959,2
vision,12,0.051347837943980595,2
vision,13,0.035794899877211274,2
vision,14,0.028143635834058045,2
vision,15,0.03059250440303113,2
vision,16,0.01379563268154068,2
vision,17,0.013488941757507724,2
vision,18,0.013073569098259206,2
vision,19,0.01550327583622903,2
vision,20,0.0169945480477485,2
vision,21,0.015600047244297683,2
vision,22,0.013955925834392856,2
vision,23,0.00792681897990033,2
vision,24,0.005785441411611973,2
vision,25,0.00677052471938773,2
vision,26,0.006065830363195501,2
vision,27,0.011727205867027152,2
vision,28,0.006078733217604654,2
vision,29,0.010552053588531942,2
vision,30,0.009944130640408366,2
vision,31,0.010588777097234919,2
vision,32,0.009521810290324149,2
vision,33,0.009686073552225295,2
vision,34,0.009670689379660535,2
vision,35,0.010686541032565812,2
vision,36,0.008494544573903084,2
vision,37,0.010773387168012037,2
vision,38,0.009350103073956183,2
vision,39,0.007453383475810622,2
vision,40,0.008976416559721855,2
vision,41,0.009695502561216601,2
vision,42,0.011304885516942937,2
vision,43,0.013824912235776836,2
vision,44,0.0,2
vision,45,0.0,2
vision,46,0.0,2
vision,47,0.0,2
vision,48,0.0,2
vision,49,0.0,2
