variant,id,main_modality,aligned_bin,occlusion_drop,positive_occlusion_drop,normalized_local_importance
aligned,01,text,0,-0.006843507289886475,0.0,0.0
aligned,01,text,1,-0.00754094123840332,0.0,0.0
aligned,01,text,2,0.007143199443817139,0.007143199443817139,0.15472666908958985
aligned,01,text,3,-0.023471444845199585,0.0,0.0
aligned,01,text,4,-0.009493231773376465,0.0,0.0
aligned,01,text,5,-0.005227923393249512,0.0,0.0
aligned,01,text,6,-0.019236445426940918,0.0,0.0
aligned,01,text,7,-0.005669504404067993,0.0,0.0
aligned,01,text,8,0.0008563697338104248,0.0008563697338104248,0.01854956416432067
aligned,01,text,9,-0.0005786418914794922,0.0,0.0
aligned,01,text,10,0.012250959873199463,0.012250959873199463,0.2653643131819716
aligned,01,text,11,-0.006215214729309082,0.0,0.0
aligned,01,text,12,0.009203404188156128,0.009203404188156128,0.19935213702469767
aligned,01,text,13,0.00851181149482727,0.00851181149482727,0.18437175818365972
aligned,01,text,14,-0.000881582498550415,0.0,0.0
aligned,01,text,15,-0.01247599720954895,0.0,0.0
aligned,01,text,16,0.0018453001976013184,0.0018453001976013184,0.03997048595532999
aligned,01,text,17,0.003131002187728882,0.003131002187728882,0.06781968545464992
aligned,01,text,18,-0.004044145345687866,0.0,0.0
aligned,01,text,19,-0.010832786560058594,0.0,0.0
aligned,01,text,20,0.0018768608570098877,0.0018768608570098877,0.04065411179315896
aligned,01,text,21,0.00032651424407958984,0.00032651424407958984,0.007072525665018175
aligned,01,text,22,0.0010211467742919922,0.0010211467742919922,0.022118749487603392
aligned,01,text,23,-0.0042685866355896,0.0,0.0
aligned,01,text,24,0.0,0.0,0.0
aligned,01,text,25,0.0,0.0,0.0
aligned,01,text,26,0.0,0.0,0.0
aligned,01,text,27,0.0,0.0,0.0
aligned,01,text,28,0.0,0.0,0.0
aligned,01,text,29,0.0,0.0,0.0
aligned,01,text,30,0.0,0.0,0.0
aligned,01,text,31,0.0,0.0,0.0
aligned,01,text,32,0.0,0.0,0.0
aligned,01,text,33,0.0,0.0,0.0
aligned,01,text,34,0.0,0.0,0.0
aligned,01,text,35,0.0,0.0,0.0
aligned,01,text,36,0.0,0.0,0.0
aligned,01,text,37,0.0,0.0,0.0
aligned,01,text,38,0.0,0.0,0.0
aligned,01,text,39,0.0,0.0,0.0
aligned,01,text,40,0.0,0.0,0.0
aligned,01,text,41,0.0,0.0,0.0
aligned,01,text,42,0.0,0.0,0.0
aligned,01,text,43,0.0,0.0,0.0
aligned,01,text,44,0.0,0.0,0.0
aligned,01,text,45,0.0,0.0,0.0
aligned,01,text,46,0.0,0.0,0.0
aligned,01,text,47,0.0,0.0,0.0
aligned,01,text,48,0.0,0.0,0.0
aligned,01,text,49,0.0,0.0,0.0
aligned,02,text,0,-0.0014303922653198242,0.0,0.0
aligned,02,text,1,0.0032512545585632324,0.0032512545585632324,0.011999476877628193
aligned,02,text,2,0.00451052188873291,0.00451052188873291,0.016647082575350355
aligned,02,text,3,0.0017732977867126465,0.0017732977867126465,0.006544749236187441
aligned,02,text,4,-0.002862215042114258,0.0,0.0
aligned,02,text,5,0.015298247337341309,0.015298247337341309,0.05646157871864277
aligned,02,text,6,-0.014354050159454346,0.0,0.0
aligned,02,text,7,0.0010683536529541016,0.0010683536529541016,0.003942996380270367
aligned,02,text,8,-0.01179593801498413,0.0,0.0
aligned,02,text,9,-0.004749774932861328,0.0,0.0
aligned,02,text,10,0.003082573413848877,0.003082573413848877,0.011376921658025138
aligned,02,text,11,0.004187881946563721,0.004187881946563721,0.015456308227749177
aligned,02,text,12,0.02887946367263794,0.02887946367263794,0.10658607326375014
aligned,02,text,13,0.01889801025390625,0.01889801025390625,0.06974730307648971
aligned,02,text,14,-0.0018086433410644531,0.0,0.0
aligned,02,text,15,0.025635719299316406,0.025635719299316406,0.09461431439236576
aligned,02,text,16,0.010204315185546875,0.010204315185546875,0.03766129102333669
aligned,02,text,17,0.04033374786376953,0.04033374786376953,0.14886065245326904
aligned,02,text,18,0.07188954949378967,0.07188954949378967,0.2653243452198483
aligned,02,text,19,0.017355263233184814,0.017355263233184814,0.06405345263515196
aligned,02,text,20,0.024581491947174072,0.024581491947174072,0.09072345426193494
aligned,02,text,21,-5.960464477539063e-08,0.0,0.0
aligned,02,text,22,-5.960464477539063e-08,0.0,0.0
aligned,02,text,23,-5.960464477539063e-08,0.0,0.0
